"case_order","source_record_id","korean_source","english_reference","matched_terms","human_decision","human_note"
"011","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000291918","배시는 리눅스와 유닉스 계열 운영 체제에서 명령어를 실행하는 쉘입니다.","Bash is a shell that runs commands in Linux and Unix-like operating systems.","운영 체제","",""
"012","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000313628","도커는 오늘날 가장 인기 있는 컨테이너 플랫폼 중 하나이며, 개발자와 운영자 모두에게 애플리케이션 배포를 더 쉽고 효율적으로 만드는 데 사용되고 있습니다.","Docker is one of the most popular container platforms today, and it is used by both developers and operators to make application deployment easier and more efficient.","배포","",""
"013","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000435272","아르두이노 시스템은 전자 장치를 제어하는 데 사용되는 오픈 소스 하드웨어 및 소프트웨어 플랫폼입니다.","The Arduino system is an open-source hardware and software platform used for controlling electronic devices.","소프트웨어 | 오픈 소스","",""
"014","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000260457","디자인 패턴은 소프트웨어 개발에서 반복적으로 발생하는 문제를 해결하기 위한 재사용 가능한 솔루션입니다.","Design patterns are reusable solutions to commonly occurring problems in software development.","소프트웨어","",""
"015","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000237555","로드 밸런싱은 클라우드 컴퓨팅, 웹 호스팅, 기업 네트워크 등 다양한 환경에서 사용됩니다.","Load balancing is used in a variety of environments, including cloud computing, web hosting, and enterprise networks.","클라우드 컴퓨팅","",""
"016","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000052702","노드는 자바스크립트 런타임 환경으로, 서버 사이드에서 자바스크립트 코드를 실행할 수 있게 해줍니다.","Node is a JavaScript runtime environment that allows you to run JavaScript code on the server side.","서버","",""
"017","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000422675","쿼리는 데이터베이스 테이블에서 특정 행이나 열을 검색하거나 데이터베이스 테이블의 데이터를 정렬하거나 그룹화하는 데 사용할 수 있습니다.","Queries can be used to retrieve specific rows or columns from a database table, or to sort or group the data in a database table.","데이터베이스","",""
"018","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000267500","어셈블리어는 운영 체제, 드라이버, 임베디드 시스템과 같은 성능과 효율성이 중요한 시스템 프로그래밍에 주로 사용됩니다.","Assembly language is mainly used in systems programming, such as operating systems, drivers, and embedded systems, where performance and efficiency are critical.","운영 체제","",""
"019","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000105340","웹사이트 개발은 복잡한 과정으로, 계획, 디자인, 개발, 테스트, 배포 등 여러 단계가 포함됩니다.","Website development is a complex process that involves several stages, including planning, design, development, testing, and deployment.","배포","",""
"020","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000084324","깃허브는 오픈 소스 프로젝트를 호스팅하는 데 널리 사용되며, 개발자들이 협업하고 코드를 공유하는 데 도움이 됩니다.","GitHub is widely used to host open source projects, and it helps developers to collaborate and share code.","오픈 소스","",""
"021","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000352379","버그 추적 시스템은 소프트웨어 개발 팀이 버그를 효율적으로 관리하고, 소프트웨어 품질을 향상시키고, 릴리스 일정을 준수하는 데 도움이 될 수 있습니다.","Bug tracking systems can help software development teams to manage bugs efficiently, improve software quality, and meet release schedules.","소프트웨어","",""
"022","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000450346","데이터센터는 클라우드 컴퓨팅, 빅데이터, 인공지능과 같은 기술의 발전에 따라 점점 더 중요해지고 있습니다.","Data centers are becoming increasingly important with the growth of technologies such as cloud computing, big data, and artificial intelligence.","클라우드 컴퓨팅","",""
"023","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000213482","개발자는 사용자 인터페이스를 설계하고, 데이터베이스를 관리하며, 서버를 구성했습니다.","The developer designed user interfaces, managed databases, and configured servers.","서버 | 데이터베이스","",""
"024","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000453099","데이터베이스에서 널은 필드에 값이 없는 것을 나타냅니다.","In databases, null indicates that a field does not have a value.","데이터베이스","",""
"025","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000148336","재부팅하는 동안 컴퓨터는 모든 프로그램을 닫고 하드 드라이브에서 운영 체제를 다시 로드했습니다.","During the reboot, the computer closed all programs and reloaded the operating system from the hard drive.","운영 체제","",""
"026","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000457119","앱피안은 클라우드 기반의 저코드/노코드 플랫폼으로, 비즈니스 사용자와 개발자가 앱을 빠르고 쉽게 구축하고 배포할 수 있도록 해줍니다.","Appian is a cloud-based low-code/no-code platform that enables business users and developers to build and deploy apps quickly and easily.","배포","",""
"027","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000351923","컨설은 분산 시스템에서 서비스를 발견하고 구성하는 데 사용되는 오픈 소스 도구입니다.","Consul is an open-source tool used to discover and configure services in a distributed system.","오픈 소스","",""
"028","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000126507","오피스 스위트는 워드 프로세서, 스프레드시트, 프레젠테이션 소프트웨어 등 다양한 응용 프로그램을 포함한 소프트웨어 패키지입니다.","An office suite is a software package that includes various applications such as word processors, spreadsheets, and presentation software.","소프트웨어","",""
"029","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000069623","확장성은 클라우드 컴퓨팅, 빅데이터 및 기타 리소스 집약적인 애플리케이션에서 중요한 고려 사항입니다.","Scalability is an important consideration in cloud computing, big data, and other resource-intensive applications.","클라우드 컴퓨팅","",""
"030","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000101003","피어투피어는 중앙 서버 없이 사용자 간에 직접 연결하여 파일이나 데이터를 공유하는 네트워크입니다.","Peer-to-peer is a network that allows users to share files or data directly with each other without the need for a central server.","서버","",""
"031","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000169787","데이터 모델링은 데이터베이스 설계, 데이터 통합, 데이터 마이그레이션과 같은 다양한 목적으로 사용됩니다.","Data modeling is used for a variety of purposes, such as database design, data integration, and data migration.","데이터베이스","",""
"032","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000273268","예를 들어, 운영 체제의 설정에서는 사용자는 언어, 시간대, 디스플레이 설정 등을 구성할 수 있습니다.","For example, in an operating system's settings, the user can configure the language, time zone, display settings, and more.","운영 체제","",""
"033","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000436174",".NET은 마이크로소프트가 개발한 오픈 소스, 무료, 크로스 플랫폼 개발 플랫폼입니다.",".NET is an open-source, free, cross-platform development platform developed by Microsoft.","오픈 소스","",""
"034","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000289409","안티바이러스 소프트웨어는 컴퓨터를 바이러스로부터 보호하는 데 사용됩니다.","Antivirus software is used to protect computers from viruses.","소프트웨어","",""
"035","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000386224","외부화는 클라우드 컴퓨팅, 마이크로서비스 아키텍처, 서비스 지향 아키텍처와 같은 다양한 소프트웨어 개발 패러다임에서 널리 사용됩니다.","Externalization is widely used in various software development paradigms, such as cloud computing, microservices architecture, and service-oriented architecture.","소프트웨어 | 클라우드 컴퓨팅","",""
"036","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000376459","성능 테스트는 웹 애플리케이션, 데이터베이스, 네트워크 및 기타 IT 시스템을 포함한 다양한 시스템에 사용할 수 있습니다.","Performance testing can be used on a variety of systems, including web applications, databases, networks, and other IT systems.","데이터베이스","",""
"037","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000152777","자바는 웹 애플리케이션, 엔터프라이즈 소프트웨어, 모바일 애플리케이션 개발에 널리 사용됩니다.","Java is widely used for developing web applications, enterprise software, and mobile applications.","소프트웨어","",""
"038","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000090014","정보 검색 시스템은 웹 검색, 데이터베이스 검색, 디지털 라이브러리 검색 등 다양한 응용 분야에서 사용됩니다.","Information retrieval systems are used in a variety of applications, including web search, database search, and digital library search.","데이터베이스","",""
"039","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000484517","근본 원인 분석은 제조, 의료, 소프트웨어 개발 등 다양한 분야에서 사용됩니다.","Root cause analysis is used in a wide range of industries, including manufacturing, healthcare, and software development.","소프트웨어","",""
"040","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000483068","쿼리는 데이터베이스에서 데이터를 삽입, 업데이트, 삭제하는 데에도 사용할 수 있습니다.","Queries can also be used to insert, update, or delete data in a database.","데이터베이스","",""
